Date,month,year,Local Site Name,County,mean_latitude,mean_longitude,Ozone,PM 2.5
2024-01-13,1,2024,Millbrook School,Wake,35.856111,-78.574167,32.0,21.0
2024-01-13,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,11.0
2024-01-13,1,2024,Rockwell,Rowan,35.551868,-80.395039,32.0,18.0
2024-01-13,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,19.0
2024-01-14,1,2024,Bryson City,Swain,35.434767,-83.442133,,36.0
2024-01-14,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,25.0
2024-01-14,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,26.0
2024-01-14,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,53.0
2024-01-14,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,38.0,23.0
2024-01-14,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,25.0
2024-01-14,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,27.0
2024-01-14,1,2024,Mendenhall School,Guilford,36.1090060008986,-79.802314,,32.0
2024-01-14,1,2024,Millbrook School,Wake,35.856111,-78.574167,33.0,28.0
2024-01-14,1,2024,Old High School,Swain,35.498711,-83.310242,,26.0
2024-01-14,1,2024,Pitt Agri. Center,Pitt,35.6412760008938,-77.360126,,18.0
2024-01-14,1,2024,Rockwell,Rowan,35.551868,-80.395039,36.0,28.0
2024-01-14,1,2024,West Johnston Co.,Johnston,35.59095,-78.4622,,27.0
2024-01-15,1,2024,Bryson City,Swain,35.434767,-83.442133,,43.0
2024-01-15,1,2024,Castle Hayne,New Hanover,34.364167,-77.838611,,22.0
2024-01-15,1,2024,Clemmons Middle,Forsyth,36.026612,-80.341962,,34.0
2024-01-15,1,2024,Durham Armory,Durham,36.0329550008979,-78.904037,,52.0
2024-01-15,1,2024,Garinger High School,Mecklenburg,35.2401000008895,-80.785683,25.0,44.0
2024-01-15,1,2024,Hattie Avenue,Forsyth,36.11094,-80.224501,,33.0
2024-01-15,1,2024,Leggett,Edgecombe,35.988278,-77.5843,,22.0
2024-01-15,1,2024,Mendenhall School,Guilford,36.1090060008986,-79.802314,,39.0
